12711	5	79	23	96	0

#JUMP RUN RIGHT & LEFT 
12423	65	40	80	55	0
12427	365	40	380	55	0

############# TAIL ###############

#IDLE

14121	243	632	265	663	0
14721	242	793	265	823	0
14726	272	673	296	703	0

14111	182	633	204	663	0
14711	182	793	204	823	0
14716	150	673	174	702	0

#WALKING RIGHT
14222	272	633	295	663	0
14223	303	633	324	663	0
#WALKING LEFT
14212	151	633	174	663	0
14213	122	633	143	663	0
#RUNNING RIGHT
14321	331	633	355	663	0
14322	362	633	385	663	0
14323	393	633	414	663	0

	
#RUNNING LEFt
14311	91	633	115	663	0
14312	60	633	84	663	0
14313	32	633	53	663	0
#JUMP WALK RIGHT
14417	392	753	415	781	0
14413	31	753	54	781	0
#JUMP RUN RIGHT & LEFT

###RIGHT - DOWN  - UP
14427	361	713	385	741	0
14428	361	753	385	781	0

##LEFT- DOWN  - UP
14423	61	713	85	741	0
14424	61	753	85	781	0

#SIT RIGHT & LEFT
14521	393	677	415	697	0
14511	31	677	53	697	0
#BRACE RIGHT & LEFT 
14621	5	632	21	663	0
14611	425	632	441	663	0

#HOLD RIGHT LEFT
14722	272	793	294	822	0
14723	303	793	324	822	0

14712	152	793	174	822	0
14713	123	793	143	822	0

#KICK RIGHT LEFT
14821	422	753	444	782	0
14811	2	753	24	782	0




# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

#HOLD RIGHT LEFT
1011	11721	100	11722	100	11723	100
1010	11711	100	11712	100	11713	100
#KICK RIGHT LEFT
1021	11821	100
1020	11811	100
#HOLD IDLE
1041	11721	100
1040	11711	100
#HOLD JUMP RIGHT LEFT
1051	11726	100
1050	11716	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#HOLD RIGHT LEFT
1611	12621	100	12622	100
1610	12611	100	12612	100
#KICK RIGHT LEFT
1621	12721	100
1620	12711	100
#HOLD IDLE
1641	12621	100
1640	12611	100
#HOLD JUMP RIGHT LEFT
1651	12626	100
1650	12616	100

###################TAIL#################

2401	14121	100
2400	14111	100

#WALKING RIGHT & LEFT 
2501	14121	110	14222	110	14223	110
2500	14111	110	14212	110	14213	110

#RUNNING RIGHT & LEFT
2601	14321	5	14322	5	14323	5
2600	14311	5	14312	5	14313	5

#JUMP WALK
2701	14417	100
2700	14413	100

#JUMP RUN
2801	14427	100
2800	14423	100
#SIT RIGHT & LEFT 
2901	14521	100
2900	14511	100
#BRACE RIGHT & LEFT 
3001	14611	100
3000	14621	100

#HOLD RIGHT LEFT
3011	14721	100	14722	100	14723	100
3010	14711	100	14712	100	14713	100
#KICK RIGHT LEFT
3021	14821	100
3020	14811	100
#IDLE HOLD
3041	14721	100
3040	14711	100
#JUMP HOLD RIGHT LEFT
3051	14726	100
3050	14716	100
